item_code,item,unit_number,date,cost
,"Frito-Lay Variety Pack Chips, 30 pk. Qty 1 $",1,2025-10-16,18.48
,"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"HERSHEY'S Variety Pack, Milk Chocolate Candy, 30 pk. Qty 1 $",1,2025-10-16,23.98
,"Glico Pocky Chocolate Covered Biscuit Sticks, 1.41 oz.,12 pk. Qty 2 $",1,2025-10-16,19.96
,"Gold Peak Unsweetened Tea 16.9 fl. oz., 18 pk. Qty 1 $",1,2025-10-16,16.98
,"Quest Tortilla-Style 19g Protein Chips, Variety Pack, 14 ct. Qty 1 $",1,2025-10-16,24.68
,"CLIF BAR Plant Based Energy Protein Bars, Variety Pack, 20 pk. Qty 3 $",1,2025-10-16,56.94
,"Nongshim Spicy Chicken Ramen Noodle Soup Bowl 3.03 oz., 12 ct. Qty 1 $",1,2025-10-16,13.84
,"Red Bull Energy Sugar-Free 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,34.98
,"Monster Energy Zero Ultra 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,38.98
,"Red Bull Energy Sugar-Free 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,34.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 2 $",1,2025-10-08,17.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 3 $",1,2025-10-08,65.94
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 1 $",1,2025-10-08,17.98
,"Red Bull Energy 8.4 fl. oz., 24 pk. Qty 2 $",1,2025-10-08,69.96
,"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct. Qty 1 $",1,2025-10-08,18.62
,"Capri Sun Variety Pack 6 fl. oz. pouches, 40 pk. Qty 1 $",1,2025-10-08,10.48
,"Quest Protein Bar Variety Pack, Gluten Free, 14 ct. Qty 1 $",1,2025-10-08,24.98
,"Quest Tortilla Style 18-20g Protein Chip Variety Pack, Chili Lime and Nacho Qty 1 $",1,2025-10-08,24.68
,"Quest Soft & Chewy 15g Protein Cookie, Variety Pack, 12 ct. Qty 2 $",1,2025-10-08,41.92
,"RXBAR Protein Bar, Variety Pack, 1.83 oz., 14 pk. Qty 1 $",1,2025-10-08,18.68
,"IQBAR Protein Bar Variety Pack, 12 ct. Qty 1 $",1,2025-10-08,13.98
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"Pure Leaf Real Brewed Tea Sweet Tea 16.9 fl. oz., 18 pk. Qty 2 $",1,2025-10-08,33.96
,"Monster Energy Original 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,38.98
,"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,15.98
,"Pure Protein Bars Gluten Free, Chocolate Variety Pack 23 ct. Qty 1 $",1,2025-10-08,19.48
,"Jayone Roasted & Lightly Salted Seaweed, 0.17 oz., 24 pk. Qty 2 $",1,2025-10-08,15.96
,"CLIF BAR Plant Based Energy Protein Bars, Variety Pack, 20 pk. Qty 1 $",1,2025-10-08,18.98
,"Mars Chocolate Candy Bars, Variety Pack, Full Size, 30 pk. Qty 1 $",1,2025-10-08,25.98
